chozodecal01_bc maps\textures\chozodecal01_bc.bctex
tomoco_mirrordiffusehdr maps\cubemaps\tomoco_mirrordiffusehdr.bctex
chozomatmetalyellow02_nm maps\textures\chozomatmetalyellow02_nm.bctex
vrrhotdiffusehdr maps\cubemaps\20_11\vrr.hotdiffusehdr.bctex
platform_metal_bc actors\props\platformcavmagnet3left\models\textures\platform_metal_bc.bctex
magnetsurfaceburnertrap_nm actors\props\magnetsurfaceburnertrap\models\textures\magnetsurfaceburnertrap_nm.bctex
interiorstudio_cubemapdiffusehdr maps\cubemaps\interiorstudio_cubemapdiffusehdr.bctex
caverock01_bc maps\textures\caverock01_bc.bctex
spinwind_l system\fx\textures\spinwind_l.bctex
shuter_boss_at actors\props\shuter_boss\models\textures\shuter_boss_at.bctex
chozomarcodoor maps\textures\chozomarcodoor.bctex
rays_alphalevels_02 system\fx\textures_zdr\rays_alphalevels_02.bctex
emmy5_test_2specularhdr maps\cubemaps\pruebas\emmy5_test_2specularhdr.bctex
fire_generic_bw_04 system\fx\textures_zdr\fire_generic_bw_04.bctex
chozomatmetalblue10_nm maps\textures\chozomatmetalblue10_nm.bctex
crystals01 system\fx\textures_zdr\crystals01.bctex
mask actors\characters\iceflea\fx\textures\mask.bctex
cut_professorpanelagua_bc actors\props\cut_professorpanelagua\models\textures\cut_professorpanelagua_bc.bctex
spittail_nm actors\characters\spittail\models\textures\spittail_nm.bctex
chozoaqsubmarine01_bc actors\props\chozoaqsubmarine01\models\textures\chozoaqsubmarine01_bc.bctex
chozobasepath02_bc maps\textures\chozobasepath02_bc.bctex
woodbark03_bc maps\textures\woodbark03_bc.bctex
cucannon_bc actors\characters\cucannon\models\textures\cucannon_bc.bctex
chozobasebgasset01_at maps\textures\chozobasebgasset01_at.bctex
checkergrey01_at maps\textures\checkergrey01_at.bctex
mudmatcave03_nm maps\textures\mudmatcave03_nm.bctex
chozoblock01_bc maps\textures\chozoblock01_bc.bctex
ashdissolve cutscenes\0057scorpiusdeath\fx\textures\ashdissolve.bctex
chozosancfullflag02alpha_bc maps\textures\chozosancfullflag02alpha_bc.bctex
glowexposeddecal01_nm maps\textures\glowexposeddecal01_nm.bctex
color_window maps\textures\light_masks\color_window.bctex
fr2_saveroom_versionspecularhdr maps\cubemaps\definitivos\fr.2_saveroom_versionspecularhdr.bctex
hud_tileset gui\textures\hud_tileset.bctex
autsniper_nm actors\characters\autsniper\models\textures\autsniper_nm.bctex
pathvt03_nm maps\textures\pathvt03_nm.bctex
hologram01 maps\textures\hologram01.bctex
chozobasehandrail01_bc maps\textures\chozobasehandrail01_bc.bctex
spitclawk_nm actors\characters\spitclawk\models\textures\spitclawk_nm.bctex
chozomatemissive01_nm maps\textures\chozomatemissive01_nm.bctex
segradientr system\fx\textures\segradientr.bctex
magdigrockbg01_nm maps\textures\magdigrockbg01_nm.bctex
impact4 system\fx\textures\impact4.bctex
arachnus_disolve system\fx\textures\arachnus_disolve.bctex
chozoallbggenwall06joint_bc maps\objects\chozoallbggenwall06joint\textures\chozoallbggenwall06joint_bc.bctex
xflare_large system\fx\textures\xflare_large.bctex
noise_spykes system\fx\textures_zdr\noise_spykes.bctex
chozoallwall01_bc maps\textures\chozoallwall01_bc.bctex
chozopathwater01x4_bc maps\textures\chozopathwater01x4_bc.bctex
lines actors\props\maproom\fx\textures\lines.bctex
baselabprop01_bc maps\textures\baselabprop01_bc.bctex
rockcavegrey01_bc maps\textures\rockcavegrey01_bc.bctex
chozosancstatuebig01_bc maps\textures\chozosancstatuebig01_bc.bctex
water_breakloop_pos2 actors\props\platformcavewaterb\fx\textures\water_breakloop_pos2.bctex
coldzoneasset01_nm maps\textures\coldzoneasset01_nm.bctex
breakable_block_screwattack_bc maps\blocks\breakable_block_screwattack\textures\breakable_block_screwattack_bc.bctex
impact6 system\fx\textures\impact6.bctex
crystals02 system\fx\textures_zdr\crystals02.bctex
rock_f_bc maps\textures\rock_f_bc.bctex
chozocorridormag01_bc maps\textures\chozocorridormag01_bc.bctex
chozowallemmy01_bc maps\textures\chozowallemmy01_bc.bctex
cavplatformrock04v2_at maps\textures\cavplatformrock04v2_at.bctex
kraid_finaldiffusehdr maps\cubemaps\definitivos\kraid_finaldiffusehdr.bctex
chozocolmag_bc maps\textures\chozocolmag_bc.bctex
nailong_nm actors\characters\nailong\models\textures\nailong_nm.bctex
chozoemmypath01x4_bc maps\textures\chozoemmypath01x4_bc.bctex
texturetext_stick gui\textures\texturetext_stick.bctex
chozomatconcretebase02_at maps\textures\chozomatconcretebase02_at.bctex
tentaculos_dead_nm actors\characters\hydrogiga\models\textures\tentaculos_dead_nm.bctex
grapplebreak system\fx\textures\grapplebreak.bctex
chozomatconcretebluedark01_bc maps\textures\chozomatconcretebluedark01_bc.bctex
rockbackground01_bc maps\textures\rockbackground01_bc.bctex
lavamat01_nm maps\textures\lavamat01_nm.bctex
shipyardrock03_bc maps\textures\shipyardrock03_bc.bctex
chozomatmetalblue12_nm maps\textures\chozomatmetalblue12_nm.bctex
chozomatconcretepattern05_at maps\textures\chozomatconcretepattern05_at.bctex
chozoemmyborderwall01_nm maps\textures\chozoemmyborderwall01_nm.bctex
chozosancfullflag01base_nm maps\textures\chozosancfullflag01base_nm.bctex
chozomatmetalblue09_bc maps\textures\chozomatmetalblue09_bc.bctex
energyleak system\fx\textures\energyleak.bctex
i_basetank_at actors\items\item_missiletankplus\models\textures\i_basetank_at.bctex
tentaclesaux_at actors\characters\chozowarriorxnormal\models\textures\tentaclesaux_at.bctex
chozoenye system\fx\generic\textures\chozoenye.bctex
web_energy system\fx\generic\textures\web_energy.bctex
depthorn_nm actors\characters\depthorn\models\textures\depthorn_nm.bctex
baserock_01salt_bc maps\textures\baserock_01salt_bc.bctex
samus_ship_bc actors\props\samus_ship_b\models\textures\samus_ship_bc.bctex
spinenergy_l system\fx\textures\spinenergy_l.bctex
cavartifactorstatue_nm maps\textures\cavartifactorstatue_nm.bctex
icebeam_rgba actors\weapons\icebeam\models\textures\icebeam_rgba.bctex
magmeltrockplatform01_bc maps\textures\magmeltrockplatform01_bc.bctex
sparks03 actors\characters\autsharp\fx\textures\sparks03.bctex
chozosancstatue02_nm maps\textures\chozosancstatue02_nm.bctex
kraid_cabeza_bc actors\characters\kraid\models\textures\kraid_cabeza_bc.bctex
mapev_lum_ell_nm actors\events\mapev_lum_ell\models\textures\mapev_lum_ell_nm.bctex
caterzilla_nm actors\characters\caterzilla\models\textures\caterzilla_nm.bctex
zero_body_nm actors\characters\samus\models\textures\zero_body_nm.bctex
chozomatpipes08_bc maps\textures\chozomatpipes08_bc.bctex
specialburst_ballrays system\fx\textures_zdr\specialburst_ballrays.bctex
texturetext_stickcounterclockwise gui\textures\texturetext_stickcounterclockwise.bctex
smokewave system\fx\textures\smokewave.bctex
airdust system\fx\textures\airdust.bctex
gameover system\engine\textures\localized\default\gameover.bctex
grassleaves02_bc maps\textures\grassleaves02_bc.bctex
yampa_bc actors\characters\yampa\models\textures\yampa_bc.bctex
checker system\engine\textures\checker.bctex
breakable_block_peso_nm actors\props\breakable_block_peso\models\textures\breakable_block_peso_nm.bctex
fauna_reptile_02_at actors\events\mapev_reptile02\models\textures\fauna_reptile_02_at.bctex
chozomatflatblack04_bc maps\textures\chozomatflatblack04_bc.bctex
rodotuk_nm actors\characters\rodotuk\models\textures\rodotuk_nm.bctex
cavecolumcristal05_at maps\textures\cavecolumcristal05_at.bctex
cavpathrock03v4_nm maps\textures\cavpathrock03v4_nm.bctex
powerup_doublejump_bc actors\items\powerup_doublejump\models\textures\powerup_doublejump_bc.bctex
chozosanwall01_bc maps\textures\chozosanwall01_bc.bctex
plancton02 actors\characters\hecathon\fx\textures\plancton02.bctex
energyrechargebody_nm actors\props\energyrecharge\models\textures\energyrechargebody_nm.bctex
forestflower_bc maps\textures\forestflower_bc.bctex
chozopathemmy01x4_bc maps\textures\chozopathemmy01x4_bc.bctex
aquarockwall02x3salt_nm maps\textures\aquarockwall02x3salt_nm.bctex
kraid_cabeza_nm actors\characters\kraid\models\textures\kraid_cabeza_nm.bctex
bomb_at actors\weapons\bomb\models\textures\bomb_at.bctex
test_editordiffusehdr maps\cubemaps\test_editordiffusehdr.bctex
itemspherecoat actors\items\powerup_bomb\models\textures\itemspherecoat.bctex
chozoaqcorridor_bc maps\textures\chozoaqcorridor_bc.bctex
aeiongd_statue_bc actors\props\aeiongd_statue\models\textures\aeiongd_statue_bc.bctex
capsula_interior_bc actors\props\capsulelaunchershipyard\models\textures\capsula_interior_bc.bctex
gameover system\engine\textures\localized\sp\gameover.bctex
baserock_01rock_bc maps\textures\baserock_01rock_bc.bctex
3specularhdr maps\cubemaps\25-7\3specularhdr.bctex
mask_hard_nottiled system\fx\textures_zdr\mask_hard_nottiled.bctex
footstepplatform_at actors\props\footstepplatform\models\textures\footstepplatform_at.bctex
difmode_normal gui\textures\difmode_normal.bctex
powerbeam_impact_chargedcore2 system\fx\textures_zdr\powerbeam_impact_chargedcore2.bctex
ice_at actors\props\ice_cube\models\textures\ice_at.bctex
mudmatcave01_bc maps\textures\mudmatcave01_bc.bctex
magma_v3specularhdr maps\cubemaps\19-8\magma_v3specularhdr.bctex
areanames_artaria gui\textures\areanames_artaria.bctex
lava_explosion02_anim_pos2 maps\fx\lavasplashes\textures\lava_explosion02_anim_pos2.bctex
crystaldark_bc maps\textures\crystaldark_bc.bctex
chozodecal05_bc maps\textures\chozodecal05_bc.bctex
cooldown_arms_at actors\characters\cooldownxboss\models\textures\cooldown_arms_at.bctex
chozopipesyellowadorn01_nm maps\textures\chozopipesyellowadorn01_nm.bctex
rayarc_tile system\fx\textures_zdr\rayarc_tile.bctex
chozobgemmydoor01_nm maps\textures\chozobgemmydoor01_nm.bctex
rays_alphalevels_01 system\fx\textures_zdr\rays_alphalevels_01.bctex
cornice00_at maps\textures\cornice00_at.bctex
chozomatpipes16_nm maps\textures\chozomatpipes16_nm.bctex
black_bc maps\textures\black_bc.bctex
mapev_magma_crab_at actors\events\mapev_magma_crab\models\textures\mapev_magma_crab_at.bctex
cavstatuechozo03mask_nm maps\textures\cavstatuechozo03mask_nm.bctex
chozoaqdoor01_bc maps\textures\chozoaqdoor01_bc.bctex
chozosancnest04_nm maps\textures\chozosancnest04_nm.bctex
uppercutcone actors\characters\samus\fx\textures\uppercutcone.bctex
motiontrail system\fx\textures_zdr\motiontrail.bctex
vrremmydiffusehdr maps\cubemaps\20_11\vrr.emmydiffusehdr.bctex
chozomatflatblack01_bc maps\textures\chozomatflatblack01_bc.bctex
pedestal01_bc maps\textures\pedestal01_bc.bctex
weightblock_d maps\blocks\weightblock\textures\weightblock_d.bctex
cavwaterrock02_nm maps\textures\cavwaterrock02_nm.bctex
doorshieldpowerbomb_bc actors\props\doorshieldpowerbomb\models\textures\doorshieldpowerbomb_bc.bctex
manicchunks01 system\fx\textures\manicchunks01.bctex
sabotoru02_at actors\characters\sabotoru\models\textures\sabotoru02_at.bctex
chozobgquarantinewall05_bc maps\textures\chozobgquarantinewall05_bc.bctex
ringed_cloud03 actors\characters\chozocommander\fx\textures\ringed_cloud03.bctex
roots_bc actors\characters\hydrogiga\models\textures\roots_bc.bctex
a3chozostraightcol00_d maps\textures\a3chozostraightcol00_d.bctex
ca_3diffusehdr maps\cubemaps\caveaqua\ca_3diffusehdr.bctex
liquid_dark_splash_00 system\fx\textures_zdr\liquid_dark_splash_00.bctex
commandercanon_bc actors\characters\chozocommander\models\textures\commandercanon_bc.bctex
cavbug01_at maps\textures\cavbug01_at.bctex
leavemat01_bc maps\textures\leavemat01_bc.bctex
doorcharge_nm actors\props\doorclosedcharge\models\textures\doorcharge_nm.bctex
spawnpointslidlemetallic_at actors\spawnpoints\spawnpointslidlemetallic\models\textures\spawnpointslidlemetallic_at.bctex
hyper_helmet_nm actors\characters\samus_facial\models\textures\hyper_helmet_nm.bctex
cavwaterrockpath02x4_bc maps\textures\cavwaterrockpath02x4_bc.bctex
cut_professorpanelbase_bc actors\props\cut_professorpanel\models\textures\cut_professorpanelbase_bc.bctex
breakable_block_powerbomb_nm maps\blocks\breakable_block_powerbomb\textures\breakable_block_powerbomb_nm.bctex
cavstatuespecialboss02_bc maps\textures\cavstatuespecialboss02_bc.bctex
spawnpointslidleout_nm actors\spawnpoints\spawnpointslidle\models\textures\spawnpointslidleout_nm.bctex
doorautomatic_at actors\props\doorautomatic\models\textures\doorautomatic_at.bctex
emmyprotowhite_bc actors\characters\emmyproto\models\textures\emmyprotowhite_bc.bctex
chozomatmetalgreen06_nm maps\textures\chozomatmetalgreen06_nm.bctex
cavepilar_bc maps\textures\cavepilar_bc.bctex
automper_bc actors\characters\automper\models\textures\automper_bc.bctex
noise_grunge_wave_mask actors\weapons\specialburst\models\textures\noise_grunge_wave_mask.bctex
texturetext_pluscircle gui\textures\texturetext_pluscircle.bctex
water_initbreakloop_nor actors\props\platformcavewaterb\fx\textures\water_initbreakloop_nor.bctex
prueba_cmdiffusehdr maps\cubemaps\pruebas\prueba_cmdiffusehdr.bctex
metroidnization_n0 actors\characters\samus\models\textures\metroidnization_n0.bctex
magdigrock06_bc maps\textures\magdigrock06_bc.bctex
mattepaintingbaselab03_background_bc maps\textures\mattepaintingbaselab03_background_bc.bctex
curvepatch01_bc maps\textures\curvepatch01_bc.bctex
chozoallcorner01b_bc maps\objects\chozoallcorner01b\textures\chozoallcorner01b_bc.bctex
causticsmat01_bc maps\textures\causticsmat01_bc.bctex
path02_at maps\textures\path02_at.bctex
bubbles_02 system\fx\textures_zdr\bubbles_02.bctex
tentaclesaux_bc actors\characters\chozowarriorx\models\textures\tentaclesaux_bc.bctex
powerbeam_charged_createball system\fx\textures_zdr\powerbeam_charged_createball.bctex
shelmit_nm actors\characters\shelmit\models\textures\shelmit_nm.bctex
coldzoneasset05_bc maps\textures\coldzoneasset05_bc.bctex
chozoemmywall02_nm maps\textures\chozoemmywall02_nm.bctex
star_shaft system\fx\textures_zdr\star_shaft.bctex
chozowarriorxnormal_tentacles_nm actors\characters\chozowarriorxnormal\models\textures\chozowarriorxnormal_tentacles_nm.bctex
batalloon_at actors\characters\batalloon\models\textures\batalloon_at.bctex
jetsparkatlas system\fx\textures\jetsparkatlas.bctex
areanames_ghavoran gui\textures\areanames_ghavoran.bctex
aquarock02x4_nm maps\textures\aquarock02x4_nm.bctex
checkercolor01_bc maps\textures\checkercolor01_bc.bctex
weightactivatedplatform_nm actors\props\weightactivatedplatform_energy\models\textures\weightactivatedplatform_nm.bctex
black actors\characters\samus\models\textures\black.bctex
chozobasecolumn01x3part1_nm maps\textures\chozobasecolumn01x3part1_nm.bctex
lines actors\items\item_missiletankplus\models\textures\lines.bctex
chozoaqsubmarine01_nm maps\textures\chozoaqsubmarine01_nm.bctex
chozodecal07_at maps\textures\chozodecal07_at.bctex
scorpiusv1specularhdr maps\cubemaps\19-8\scorpiusv1specularhdr.bctex
turnmud01_pos actors\characters\chozozombiex\fx\textures\turnmud01_pos.bctex
depthorn_bc actors\characters\depthorn\models\textures\depthorn_bc.bctex
vertical system\fx\textures\vertical.bctex
powerup_morphball_d actors\items\powerup_morphball\models\textures\powerup_morphball_d.bctex
mudwave01fx_pos actors\weapons\kraidshockersplashprojectile\fx\textures\mudwave01fx_pos.bctex
armor_body_at actors\events\mapev_armor\models\textures\armor_body_at.bctex
arms_bc actors\characters\chozocommanderx\models\textures\arms_bc.bctex
chozomatconcretegray02_nm maps\textures\chozomatconcretegray02_nm.bctex
chozomatpaintedmetalred02_nm maps\textures\chozomatpaintedmetalred02_nm.bctex
cavrock05_at maps\textures\cavrock05_at.bctex
sparks_01 system\fx\textures_zdr\sparks_01.bctex
debugweight_bc maps\textures\debugweight_bc.bctex
rays_line system\fx\textures_zdr\rays_line.bctex
plantforestorganictree_bc maps\textures\plantforestorganictree_bc.bctex
smoke_grayscale_tiled_00 cutscenes\0057scorpiusdeath\fx\textures\smoke_grayscale_tiled_00.bctex
waterwires02_pos maps\fx\waterwires\textures\waterwires02_pos.bctex
doorgrapplegrapple_at actors\props\doorgrapplegrapple\models\textures\doorgrapplegrapple_at.bctex
chozomatmetalblue09_nm maps\textures\chozomatmetalblue09_nm.bctex
noiselava maps\textures\noiselava.bctex
trail_smoke_b system\fx\textures_zdr\trail_smoke_b.bctex
seat_bc actors\props\samuship_int\models\textures\seat_bc.bctex
red2_d maps\textures\red2_d.bctex
cavrockpillar02_bc maps\textures\cavrockpillar02_bc.bctex
cavplatformrock04v1_bc maps\textures\cavplatformrock04v1_bc.bctex
chozomatpipes12_nm maps\textures\chozomatpipes12_nm.bctex
grassleaves04_bc maps\textures\grassleaves04_bc.bctex
lavabubbles_norm actors\weapons\cooldownxbosslavacarpet\fx\textures\lavabubbles_norm.bctex
rockicicledeath system\fx\textures\rockicicledeath.bctex
chozoaqbgcorridor02_nm maps\textures\chozoaqbgcorridor02_nm.bctex
bg_01 maps\textures\bg_01.bctex
debuggrey01_bc maps\textures\debuggrey01_bc.bctex
specialburst_burst system\fx\textures_zdr\specialburst_burst.bctex
specialcolumn01_nm maps\textures\specialcolumn01_nm.bctex
rockvt01m_bc maps\textures\rockvt01m_bc.bctex
spitfs_l system\fx\textures\spitfs_l.bctex
chozomatpipes17_at maps\textures\chozomatpipes17_at.bctex
weapons_glow actors\items\item_ammo\textures\weapons_glow.bctex
chozoemmybg01set03_bc maps\textures\chozoemmybg01set03_bc.bctex
armor_body_02_at actors\events\mapev_armor\models\textures\armor_body_02_at.bctex
platformcavewaterb_nm maps\textures\platformcavewaterb_nm.bctex
c_glitch system\fx\generic\textures\c_glitch.bctex
flags01_nm maps\textures\flags01_nm.bctex
chozomatmetalgreen06_bc maps\textures\chozomatmetalgreen06_bc.bctex
normalwaves system\fx\textures_zdr\normalwaves.bctex
